Period/Tech,Wind,Solar
1,95.21818,-0.0
2,93.85219,-0.0
3,87.88521,-0.0
4,89.23374,-0.0
5,83.88466,-0.0
6,78.53668,-0.0
7,75.70717,-0.0
8,72.87862,-0.0
9,68.03391,-0.0
10,63.19016,-0.0
11,59.45092,-0.0
12,55.7125,-0.0
13,52.50983,-0.0
14,49.30789,-0.0
15,48.77059,-0.0
16,48.23403,-0.0
17,47.45308,-0.0
18,46.67273,0.0
19,47.04559,0.0
20,47.41905,1.0e-5
21,46.81691,2.0e-5
22,46.21529,3.0e-5
23,46.81566,6.0e-5
24,47.41662,9.0e-5
25,48.14694,0.0001
26,48.87786,0.00012
27,49.29935,0.00013
28,49.7215,0.00014
29,49.59058,0.00013
30,49.46025,0.00013
31,48.8744,0.00011
32,48.28913,9.0e-5
33,47.03712,7.0e-5
34,45.78577,4.0e-5
35,45.18371,2.0e-5
36,44.58231,0.0
37,44.80886,-0.0
38,45.03607,-0.0
39,45.21392,-0.0
40,45.39236,-0.0
41,45.2453,-0.0
42,45.09877,-0.0
43,45.00041,-0.0
44,44.90265,-0.0
45,44.51188,-0.0
46,44.12171,-0.0
47,43.69853,-0.0
48,43.27586,-0.0
49,42.80398,-0.0
50,42.33261,-0.0
51,42.26675,-0.0
52,42.0391,-0.0
53,41.69725,-0.0
54,41.35585,-0.0
55,40.83527,-0.0
56,40.31521,-0.0
57,39.97336,-0.0
58,39.63196,-0.0
59,39.30632,-0.0
60,38.98127,-0.0
61,38.80188,-0.0
62,38.62292,-0.0
63,39.06069,-0.0
64,39.49898,-0.0
65,38.26391,-0.0
66,37.02936,0.0
67,36.68759,1.0e-5
68,36.34633,1.0e-5
69,36.44307,3.0e-5
70,36.54024,4.0e-5
71,36.44211,6.0e-5
72,36.34442,8.0e-5
73,35.98651,0.0001
74,35.62897,0.00012
75,35.01122,0.00013
76,34.3939,0.00014
77,33.79243,0.00014
78,33.1914,0.00013
79,32.34637,0.00011
80,31.50177,8.0e-5
81,30.46201,6.0e-5
82,29.42255,3.0e-5
83,28.65885,2.0e-5
84,27.89552,0.0
85,27.3104,-0.0
86,26.72572,-0.0
87,25.73481,-0.0
88,24.7442,-0.0
89,23.81827,-0.0
90,22.8927,-0.0
91,22.25911,-0.0
92,21.62574,-0.0
93,20.99214,-0.0
94,20.35884,-0.0
95,19.75774,-0.0
96,19.15693,-0.0
97,19.14035,-0.0
98,19.124,-0.0
99,18.29569,-0.0
100,18.27933,-0.0
101,18.31145,-0.0
102,18.34379,-0.0
103,18.97658,-0.0
104,19.60951,-0.0
105,20.09612,-0.0
106,20.58296,-0.0
107,20.74489,-0.0
108,20.90712,-0.0
109,21.27999,-0.0
110,21.65322,-0.0
111,22.23708,-0.0
112,22.82131,-0.0
113,23.55127,-0.0
114,24.28153,0.0
115,25.0926,0.0
116,25.90397,1.0e-5
117,26.63378,3.0e-5
118,27.36403,6.0e-5
119,28.17496,8.0e-5
120,28.98626,0.00011
121,29.61867,0.00012
122,30.25145,0.00014
123,30.9974,0.00015
124,31.74371,0.00016
125,32.5707,0.00015
126,33.3982,0.00015
